Postal Code,Title,Latitude,Longitude,Number of Victim Fatalities,Total Number of Fatalities,Number of Victims Injured,Total Number of Victims,Description,year
NY,Long Island Rail Road Commuter Train                            ,40.7,-73.6,6,6,19,25,"On December 7, 1993, a 34-year-old mentally unstable man boarded a Lond Island Rail Road commuter train headed to Nassau County in New York. He began shooting in the train car, killing six and wounding nineteen before being apprehended by three passengers in the train.                                                                                                                                                                                                                                                                             ",1993
NC,Charlotte                                                       ,35.2,-80.8,3,3,0,3,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.                                                                                                                                                                                                                                                                                                                                                                                                                                      ",2015
NC,"King, North Carolina                                            ",36.3,-80.4,3,4,0,3,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.                                                                                                                                                                                                                                                                                                                                 ",2015
NC,Pinelake Health and Rehab nursing home                          ,35.3,-79.4,8,8,2,10,"On March 29, 2009, a 45-year old man opened fire at the Pinelake Health and Rehab nursing home in Carthage, North Carolina, where his estranged wife worked. The shooter killed eight people and wounded another two before being shot and arrested by a police officer. His ex-wife, the apparent main target, survived the shooting unharmed by hiding in the Alzheimer ward of the building, which was secured by passcode-protected doors.                                                                                                            ",2009
NC,Orange High School                                              ,36,-79.1,1,1,2,3,"On August 30, 2006, a 18-year old former student at Orange High School in Hillsborough, North Carolina returned to the school to open fire on students and teachers having lunch outside, injuring two students. The student was apprehended outside the school and he confessed that he had previously killed his own father at their family home.                                                                                                                                                                                                       ",2006
OH,Youngstown State University                                     ,41.1,-80.6,1,1,11,12,"On February 6, 2011, two 19-year old man and a 22-year old man were involved in an argument over a girl in a fraternity house party in Youngstown State University in Ohio. A dispute ensued and one man was thrown out of the party and the other followed. They returned sometime later and began spraying bullets into the crowd, killing one student and injuring eleven others.                                                                                                                                                                      ",2011
OH,SuccessTech Academy                                             ,41.5,-81.7,0,1,4,4,"On October 11, 2007, a 14-year-old student of SuccessTech Academy in Cleveland, Ohio arrived at school two days after he had been suspended for getting into a fist-fight with another student. He then began shooting at students and teachers, injuring four during the incident and committing suicide.                                                                                                                                                                                                                                                ",2007
OH,Wickliffe Middle School                                         ,41.6,-81.5,1,1,3,4,"On November 7, 1994, a 37-year-old man approached the Wickliffe Middle School in Wickliffe, Ohio and shot, killing a custodian. He then wounded a school administrator, a teacher and a police officer before being detained by the police.                                                                                                                                                                                                                                                                                                               ",1994
OK,Fort Gibson Middle School                                       ,35.8,-95.3,0,0,4,4,"On December 6, 1999, a 13-year-old student at Fort Gibson Middle School in Fort Gibson, Oklahoma opened fire on his classmates for no apparent reason, wounding four before being stopped by a teacher and taken into custody.                                                                                                                                                                                                                                                                                                                            ",1999
OR,Clackamas Town Center                                           ,45.4,-122.5,2,3,1,3,"On December 11, 2012, an unemployed 22-year old run into Clackamas Town Center, a shopping center outside the City of Portland, Oregon. The gunman opened fire on shoppers and employees killing two people and seriously wounding a third person before committing suicide.                                                                                                                                                                                                                                                                              ",2012
